Model,ROC-AUC,Gini,KS,Precision,Recall,F1
Logistic Regression,0.8092857142857143,0.6185714285714285,0.580952380952381,0.6808510638297872,0.5333333333333333,0.5981308411214953
XGBoost Challenger,0.7913095238095238,0.5826190476190476,0.4595238095238095,0.7045454545454546,0.5166666666666667,0.5961538461538461
